Setup 	 Fact 	 Cond 	 Solve 	 Dot
242.436	609.363	14.1597	3.94654	0.000111103	
121.66	298.467	14.1993	4.0338	0.000148058	
64.6548	159.974	18.094	4.05473	0.000191212	
32.9628	81.6703	19.2532	4.04201	0.000277042	
17.0798	43.4305	19.3413	3.98338	0.000338078	
9.15366	24.6674	19.3579	4.0449	0.000799894	
5.23381	17.5714	19.4046	4.03636	0.000343084	
3.68359	17.3424	19.2596	3.99513	0.000578165	
3.34808	16.8874	19.3461	4.03328	0.000636101	
